I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I was just at the casino, spent almost 100 dollars on a single machine. I didn't will anything.</s> well the casino won! did you at least get some free drinks?</s> Haha, yeah I got a little sauced. The worst part though was as soon as I got up, someone sat down and rolled triple 7s.</s>		<pad> I hope you won't be able to get a drink at the casino.</s>		hah.. at least you had fun it sounds like</s>
i am really impressed everytime i see my nephew on how fast he is growing</s>		<pad> That is great! I am so proud of him!</s>		It is pretty crazy how fast grow up when you get older, it seems like a couple of weeks and they are in high school</s>
The micro brewery explosion in America has been awesome for my girlfriend and I, as we love craft beer. Until recently, our town didn't have one though.</s> I love beer! I wish I could try your guy's beer. Is it a hard process?</s> We actually don't brew our own, and hadn't been able to try many because we live in a small town. But we just got the news that a micro brewery was opening here in a few weeks!</s>		<pad> I bet you would! I love to try new things.</s>		Awesome, that's great news! Hope you guys make a great tasting one and become big!</s>
my friend bought a big house and i'm happy for her but at the same time i'm a little bit jealous</s> Big houses are a pain in the neck to keep clean.</s> true, but there is so much space for her kid to run and play at and I live in a tiny apartment with my son</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		It does have its benefits.</s>
how was your day?</s>		<pad> I hope you had a good day.</s>		It was fine how about you?</s>
I just got back from our vacation, but the drive there was so nerve wracking. There was heavy rain and traffic, and some nighttime driving. Had me on edge</s> so very bad ya</s> Yes, well, it was just one of those things I know, but still was very tiring and can get to you after that drive.</s>		<pad> I know, but I'm sure you'll be fine.</s>		ok</s>
Hi, I have applied for a driving license thrice and I have failed in all the thee</s>		<pad> That's bad. I hope you get a good one.</s>		I am so sorry to hear that! Is there a particular section you are having trouble with?</s>
I bought a load of German chocolate bars in Aldi. I then ate too many of them. I shouldn't have done that - no self-control!</s>		<pad> Oh no! I'm sorry to hear that. I'm sorry to hear that.</s>		It happens to the best of us. It would be great if they did not make us gain weight.</s>
I'm taking a vacation and going on a cruise to Alaska next week!</s>		<pad> I'm sure you will have fun!</s>		That sounds so fun!</s>
I just bought a new dress and I can't wait to wear it this weekend.</s> I love buying new clothes! Where do you think you'll wear it to?</s> I'm going to wear it to a party. Everyone will have their eyes on me!</s>		<pad> I love new clothes! I love new dresses!</s>		How exciting! I bet you'll look flawless!</s>
Cheddar is one of my favorites. I live pretty close to Cabot Creamery and I love their sharp cheddar.</s> Ooh, I haven't tried Cabot. Must look out for it. The cheddar I normally get is from Tillamook. I think it's from Oregon. Where's Cabot from?</s> It's located in a small farming town in Vermont. I went on a tour of their factory once and it was interesting to see the cheese being made.</s> I've never done that. Wonder if there's a cheese factory near me. I'm in NC, where the people almost all seem as nice as my kind neighbor!</s>		<pad> I've never been to Oregon. I've never been to Oregon.</s>		You should definitely check to see, or stop by Cabot if you ever visit Vermont.</s>
I have Lupus and it is getting worse. I asked my doctor for a chance to try a new diet I found that is suppose to help me with it.</s>		<pad> That is great. I hope you are ok.</s>		Oh dear, that must be difficult. Are there medications to take that will help?</s>
I had to sit in the front while she was in the back with him</s>		<pad> That's a lot of people. I'm sorry to hear that.</s>		Was he with you or just someone you wanted to be with?</s>
Look, can we just be honest with each other for a second? Having ebola shouldn't mean that I have to be grounded and miss out on my chance to walk on the moon during the upcoming lunar missions.</s>		<pad> That's great. I hope you get to see the moon.</s>		Okay, well if you have it then you would have to see a doctor.</s>
Have you ever had a surprise birthday party planned for you? I did a few years back.</s> Yes.My first was when i turned 18.</s> That's awesome! What a good year to do it. I remember begging my husband to throw me one every year.</s>		<pad> I remember that too. I'm glad you had a good one.</s>		LOL.You had to beg your husband for a surprise party??</s>
Some random dude walked into my room while I was laying down, couldn't have been more weird</s>		<pad> Oh no, that's weird. Did you get a chance to talk to him?</s>		Oh wow that is weird. Did you say anything to him?</s>
I know I will save the money I need for the baby</s> What is your plan to accomplish that?</s> Just to keep on working as much as I can everyday</s>		<pad> I hope you are able to do that.</s>		Just don't over do, you have to enjoy being a parent, that's a key to happy kids.</s>
i hate people that cut lane in traffic without signaling it</s> Oh me too. I'm not a driver but that is so annoying.</s> yeah it really makes me mad to see that people dont care about these types of things</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		It can be really dangerous too</s>
I hate watching movies that are full of gore! I just saw one today and so gross!</s>		<pad> I hate movies that are full of gore!</s>		I don't like them either. It makes me sick.</s>
I just bought an Xbox! I've never owned a gaming console before</s>		<pad> I've never owned a gaming console before.</s>		Excellent! Are you enjoying it?</s>
I have many health problems that have prevented me from having children</s> Oh my. I am so sorry. That must be so difficult. Are you exploring any other options like adoption?</s> If I can get my health under control I would definetly look into that. I use to be very sad everytime I saw people with their children but I have finally learned to be content in my situation</s>		<pad> I hope you are able to get through that.</s>		I hope you are able to have a child some day. I truly hurt for anyone that struggles in situations like this. I have to aplogize in advance. The topic I chose was about my daughter. I do not want to make you feel sad.</s>
I graduated college recently. I'm so glad!</s> That is excellent, what did you major in?</s> I majored in environmental engineering!</s>		<pad> I'm glad you did well!</s>		Oh cool. Do you want to work as a scientist?</s>
I always try and plan everything in advance to bring everything we need when we go on vacation. We recently went on our honeymoon and I didn't do very well this time. Ugh!</s> What went wrong?</s> I forgot everything. I guess I was so excited about the wedding, I totally failed at packing this time. Oh well, it was still fun.</s>		<pad> Oh no! I hope you had a great time!</s>		That is all that matters, its about the love.</s>
